time,type,entry_price,exit_price,position_size,profit,profit_percent,quote_currency,base_currency
2025-03-06 19:28:11.604724,LONG,94200.0,93610.0,0.081,-47.79,-0.6263269639065818,USDT,BTC
2025-03-06 19:28:31.136302,LONG,93610.0,93610.0,0.241,0.0,0.0,USDT,BTC
2025-03-06 19:28:50.964800,LONG,93610.0,93610.0,0.561,0.0,0.0,USDT,BTC
2025-03-06 19:29:11.497931,LONG,93610.0,93610.0,1.191,0.0,0.0,USDT,BTC
